,sliding_window_1,sliding_window_10,sliding_window_100,sliding_window_200,sliding_window_50,tumbling_window_1,tumbling_window_domain_adaption
COIL20_mix_sudden,1846.1216666666667,190.08666666666667,331.9316666666667,15.795,47.89833333333333,21.560000000000002,915.14
Ionosphere_shake_gradual,222.60500000000002,24.013333333333335,2.3649999999999998,1.245,4.691666666666666,2.105,71.33000000000001
Ionosphere_shake_sudden_2,301.6816666666667,30.405,3.216666666666667,1.595,6.133333333333333,2.6633333333333336,123.84166666666665
S1,59.895,7.574999999999999,0.7400000000000001,0.3416666666666666,1.8383333333333332,1.0933333333333335,12.543333333333331
S2,18.94333333333333,2.0066666666666664,0.21,0.105,0.425,0.15333333333333335,7.986666666666667
WOBC_shake_gradual_2,252.94333333333336,25.621666666666666,2.7816666666666667,1.3333333333333333,5.233333333333333,2.0749999999999997,105.11833333333334
WOBC_shake_sudden,147.99333333333334,16.631666666666664,1.595,0.8083333333333332,3.098333333333333,1.595,36.586666666666666
dermatology_shake_gradual,268.6716666666667,27.618333333333336,3.3983333333333334,2.4499999999999997,6.296666666666667,3.4250000000000003,90.275
dermatology_shake_sudden_2,299.4216666666667,31.625,4.128333333333333,2.3233333333333333,7.771666666666667,3.563333333333333,109.995
glass_shake_gradual_2,262.08666666666664,28.076666666666668,2.945,1.485,5.52,2.21,107.41000000000001
glass_shake_sudden_2,644.0166666666667,25.560000000000002,2.645,1.425,5.1499999999999995,1.9649999999999999,1028.2533333333333
mice_shake_gradual_2,444.795,42.77,5.116666666666667,2.62,8.950000000000001,4.175,183.64333333333332
mice_shake_sudden,249.45666666666668,25.656666666666666,2.558333333333333,1.3583333333333334,5.366666666666667,2.1750000000000003,102.16333333333334
seeds_shake_gradual,190.70833333333334,20.616666666666664,2.7866666666666666,2.035,4.763333333333333,2.885,62.66
thyroid_shake_gradual,177.22833333333332,17.106666666666666,1.8366666666666667,0.9900000000000001,3.6233333333333335,2.36,73.07666666666667
vowel_shake_gradual,202.835,20.216666666666665,2.186666666666667,1.1066666666666667,4.075,1.5616666666666668,81.92333333333333
vowel_shake_sudden_2,260.0683333333333,26.138333333333335,2.75,1.3366666666666667,5.181666666666667,2.32,105.13333333333334
wine_shake_sudden,584.4016666666666,15.835,1.6383333333333334,0.81,3.3083333333333336,1.4033333333333333,61.49666666666666
wine_shake_sudden_2,257.91,26.378333333333334,2.72,1.425,5.493333333333333,2.695,102.68333333333334
