HSTree,IForestASD,LODA,RSHash,xStream
0.9266,0.9565,0.5001,0.9167,0.9521
0.7318,0.9823,0.5,0.7329,0.9233
0.7312,0.9786,0.5,0.7343,0.9204
0.8771,0.9831,0.7246,0.9682,0.956
0.6152,0.6059,0.5002,0.5595,0.543
0.7305,0.9278,0.5,0.7342,0.9771
0.7353,0.9432,0.5001,0.7361,0.9794
0.7447,0.9896,0.5,0.7316,0.995
0.7321,0.985,0.5,0.713,0.9959
0.7481,0.9859,0.5,0.7536,0.9207
0.7355,0.9872,0.5001,0.7496,0.93
0.7267,0.9996,0.5,0.7203,0.9974
0.7513,0.9999,0.5001,0.7408,0.9946
0.7358,0.964,0.5001,0.7234,0.93
0.7318,0.9738,0.5001,0.5916,0.8783
0.7313,0.9881,0.5001,0.7471,0.9795
0.7502,0.9902,0.5001,0.756,0.9695
0.7652,0.9883,0.5001,0.7543,0.9706
0.7519,0.9835,0.5,0.7435,0.9634
