Dataset,HSTree,IForestASD,LODA,RSHash,xStream
COIL20_mix_sudden,423.7545333333333,1898.9443,315.60316666666665,97.02463333333333,6500.9063
Ionosphere_shake_gradual,564.9053666666667,289.63913333333335,358.5353666666667,883.3484000000002,5788.902749999999
Ionosphere_shake_sudden_2,707.1072333333333,302.72659999999996,447.538,164.75036666666665,7433.178
S1,317.37345,37.9525,192.7183,44.334149999999994,4157.0247
S2,123.26880000000001,22.2827,81.24535,18.1586,899.90125
WOBC_shake_gradual_2,958.2723333333333,298.95029999999997,479.6095333333333,194.32726666666667,14901.678600000001
WOBC_shake_sudden,504.03413333333333,270.48560000000003,261.30486666666667,101.4446,6194.307400000001
dermatology_shake_gradual,564.2653,284.8217333333333,358.5858333333333,138.35636666666667,8122.839366666667
dermatology_shake_sudden_2,705.7759666666667,293.6054,2483.5994333333333,162.24949999999998,7438.82485
glass_shake_gradual_2,779.8409666666666,296.8256333333333,489.1956,174.72933333333333,8027.50275
glass_shake_sudden_2,709.8385666666667,288.6744,447.1049,155.26930000000002,7153.4429
mice_shake_gradual_2,780.5108666666666,307.45773333333335,494.07276666666667,173.40186666666668,8503.24165
mice_shake_sudden,425.1040666666667,275.4448,271.7540666666667,98.93566666666668,6590.767699999999
seeds_shake_gradual,572.5929333333333,282.636,354.38079999999997,126.04896666666667,6910.34
thyroid_shake_gradual,579.8817333333333,283.4176,348.64480000000003,140.42163333333335,5691.9464
vowel_shake_gradual,576.0532666666667,287.10589999999996,350.28776666666664,139.07746666666665,5720.67425
vowel_shake_sudden_2,1175.3386,294.1324333333333,437.1621,174.19050000000001,7143.2513500000005
wine_shake_sudden,525.7735,272.5190333333333,3883.6399333333334,99.94583333333333,4446.89
wine_shake_sudden_2,818.3134333333333,290.94893333333334,434.12713333333335,167.245,7788.1537
